tokenID,name,description,file_name,external_url,attributes[Type],attributes[Gender],attributes[Age],attributes[HairStyle],attributes[FacialFeature],attributes[Eyes],attributes[Expression],attributes[Accessory],attributes[Rarity]
267,Loxley #267,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,267.png,,human scout,masculine,young,cornrows,clean-shaven,wide eyes,surprised,neck chain,Common
268,Loxley #268,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,268.png,,portrait cat,feminine,young,receding hairline,dimples,big round eyes,scowling,hood up,Rare
269,Loxley #269,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,269.png,,human scout,masculine,adult,buzzcut,full beard,tired eyes,surprised,cap,Common
270,Loxley #270,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,270.png,,human phantom,feminine,adult,spiky hair,wrinkles,monocle,smirking,bandana,Common
271,Loxley #271,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,271.png,,portrait dog,androgynous,elder,receding hairline,goatee,glowing cyber eye,smiling,cap,Rare
272,Loxley #272,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,272.png,,human oracle,androgynous,young,slicked-back hair,face tattoo,eyepatch,calm,laurel wreath,Common
273,Loxley #273,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,273.png,,human oracle,androgynous,elder,top-knot,mustache,tired eyes,smirking,high collar,Common
274,Loxley #274,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,274.png,,human rogue,androgynous,adult,undercut,face tattoo,eyepatch,neutral,glowing halo,Common
275,Loxley #275,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,275.png,,human oracle,feminine,adult,spiky hair,chin strap beard,square glasses,scowling,small horns,Common
276,Loxley #276,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,276.png,,human rogue,feminine,adult,man-bun,full beard,wide eyes,frowning,face mask,Common
277,Loxley #277,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,277.png,,human ranger,masculine,adult,hooded head,nose ring,round glasses,smiling,beanie,Common
278,Loxley #278,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,278.png,,human oracle,androgynous,elder,shaved sides,chin strap beard,round glasses,calm,antenna,Common
279,Loxley #279,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,279.png,,portrait cat,masculine,elder,curly hair,face tattoo,narrow eyes,smiling,headband,Rare
280,Loxley #280,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,280.png,,secret agent,androgynous,young,bowl cut,freckles,heterochromia,scowling,headphones,Rare
281,Loxley #281,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,281.png,,human rogue,feminine,adult,bangs,face tattoo,normal eyes,frowning,antenna,Common
282,Loxley #282,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,282.png,,portrait dog,masculine,young,bowl cut,freckles,winking,frowning,headband,Rare
283,Loxley #283,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,283.png,,secret agent,feminine,adult,curly hair,face tattoo,eyepatch,surprised,cigarette,Rare
284,Loxley #284,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,284.png,,human hacker,androgynous,adult,shaved sides,soul patch,cyber visor,neutral,glowing halo,Common
285,Loxley #285,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,285.png,,human hacker,androgynous,young,long hair,face tattoo,monocle,neutral,crown,Common
286,Loxley #286,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,286.png,,portrait cat,androgynous,adult,man-bun,face tattoo,sunglasses,grinning,flower behind ear,Rare
287,Loxley #287,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,287.png,,human rogue,feminine,young,pigtails,sideburns,wide eyes,scowling,glowing halo,Common
288,Loxley #288,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,288.png,,human hacker,androgynous,elder,man-bun,mustache,round glasses,frowning,headphones,Common
289,Loxley #289,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,289.png,,human hacker,androgynous,adult,receding hairline,soul patch,tired eyes,frowning,cap,Common
290,Loxley #290,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,290.png,,human scout,androgynous,elder,curly hair,soul patch,eyepatch,frowning,hood up,Common
291,Loxley #291,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,291.png,,human ranger,feminine,elder,undercut,cybernetic jaw,monocle,surprised,headphones,Common
292,Loxley #292,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,292.png,,human oracle,feminine,young,shaved sides,cheek markings,glowing eyes,neutral,headphones,Common
293,Loxley #293,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,293.png,,human oracle,feminine,young,receding hairline,stubble,sharp piercing eyes,neutral,cigarette,Common
294,Loxley #294,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,294.png,,human phantom,masculine,young,bangs,cybernetic jaw,heterochromia,neutral,laurel wreath,Common
295,Loxley #295,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,295.png,,human ranger,feminine,young,pigtails,wrinkles,cyber visor,calm,neck chain,Common
296,Loxley #296,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,296.png,,human oracle,feminine,young,messy hair,full beard,glowing cyber eye,surprised,laurel wreath,Common
297,Loxley #297,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,297.png,,human rogue,masculine,young,dreadlocks,cheek markings,monocle,scowling,scarf,Common
298,Loxley #298,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,298.png,,portrait cat,masculine,young,slicked-back hair,chin strap beard,big round eyes,surprised,hood up,Rare
299,Loxley #299,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,299.png,,human scout,feminine,adult,bangs,face tattoo,normal eyes,neutral,neck chain,Common
300,Loxley #300,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,300.png,,human scout,androgynous,young,bowl cut,beauty mark,wide eyes,smirking,scarf,Common
301,Loxley #301,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,301.png,,human oracle,feminine,adult,wavy hair,scarred cheek,eyepatch,frowning,small horns,Common
302,Loxley #302,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,302.png,,portrait cat,masculine,elder,messy hair,cheek markings,wide eyes,smiling,high collar,Rare
303,Loxley #303,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,303.png,,portrait cat,masculine,adult,mohawk,goatee,glowing cyber eye,neutral,hood up,Rare
304,Loxley #304,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,304.png,,portrait cat,masculine,young,bald,eye scar,sunglasses,neutral,headband,Rare
305,Loxley #305,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,305.png,,human scout,masculine,elder,receding hairline,clean-shaven,normal eyes,scowling,small horns,Common
306,Loxley #306,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,306.png,,alien,masculine,young,top-knot,wrinkles,big round eyes,smiling,headphones,Rare
307,Loxley #307,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,307.png,,secret agent,androgynous,elder,shaved sides,stubble,monocle,calm,helmet,Rare
308,Loxley #308,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,308.png,,human ranger,feminine,elder,receding hairline,soul patch,cyber visor,smiling,cigarette,Common
309,Loxley #309,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,309.png,,human rogue,masculine,adult,long hair,face tattoo,glowing eyes,serious,headband,Common
310,Loxley #310,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,310.png,,secret agent,androgynous,young,mohawk,war paint,round glasses,neutral,scarf,Rare
311,Loxley #311,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,311.png,,human oracle,feminine,adult,buzzcut,freckles,square glasses,scowling,cigarette,Common
312,Loxley #312,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,312.png,,human hacker,feminine,young,slicked-back hair,full beard,winking,calm,high collar,Common
313,Loxley #313,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,313.png,,secret agent,androgynous,adult,receding hairline,war paint,sunglasses,scowling,neck chain,Rare
314,Loxley #314,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,314.png,,human scout,androgynous,adult,man-bun,war paint,sharp piercing eyes,serious,flower behind ear,Common
315,Loxley #315,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,315.png,,human hacker,feminine,adult,man-bun,goatee,normal eyes,surprised,crown,Common
316,Loxley #316,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,316.png,,alien,androgynous,young,short hair,clean-shaven,heterochromia,serious,hood up,Rare
317,Loxley #317,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,317.png,,secret agent,masculine,elder,undercut,eye scar,heterochromia,smirking,cap,Rare
318,Loxley #318,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,318.png,,human oracle,androgynous,young,mohawk,beauty mark,glowing cyber eye,serious,small horns,Common
319,Loxley #319,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,319.png,,human rogue,feminine,elder,curly hair,nose ring,glowing cyber eye,scowling,glowing halo,Common
320,Loxley #320,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,320.png,,human phantom,feminine,young,man-bun,freckles,tired eyes,neutral,crown,Common
321,Loxley #321,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,321.png,,human oracle,androgynous,adult,mohawk,mustache,closed eyes,neutral,beanie,Common
322,Loxley #322,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,322.png,,human rogue,masculine,young,undercut,cheek markings,big round eyes,neutral,face mask,Common
323,Loxley #323,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,323.png,,portrait dog,feminine,elder,messy hair,sideburns,glowing eyes,scowling,headband,Rare
324,Loxley #324,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,324.png,,human oracle,masculine,young,bangs,goatee,closed eyes,grinning,helmet,Common
325,Loxley #325,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,325.png,,portrait cat,feminine,young,dreadlocks,scarred cheek,glowing cyber eye,serious,helmet,Rare
326,Loxley #326,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,326.png,,human oracle,androgynous,elder,wavy hair,stubble,cyber visor,neutral,nothing on head,Common
327,Loxley #327,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,327.png,,portrait cat,masculine,young,slicked-back hair,eye scar,monocle,grinning,cap,Rare
328,Loxley #328,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,328.png,,human scout,androgynous,elder,hooded head,soul patch,glowing eyes,grinning,helmet,Common
329,Loxley #329,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,329.png,,portrait dog,androgynous,adult,bowl cut,mustache,sharp piercing eyes,scowling,hood up,Rare
330,Loxley #330,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,330.png,,secret agent,feminine,elder,afro hair,clean-shaven,monocle,smirking,glowing halo,Rare
331,Loxley #331,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,331.png,,portrait dog,masculine,adult,undercut,face tattoo,wide eyes,neutral,antenna,Rare
332,Loxley #332,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,332.png,,human ranger,masculine,elder,wavy hair,dimples,cyber visor,neutral,earring,Common
333,Loxley #333,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,333.png,,alien,androgynous,adult,afro hair,soul patch,sunglasses,scowling,scarf,Rare
334,Loxley #334,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,334.png,,secret agent,androgynous,elder,shaved sides,full beard,tired eyes,serious,crown,Rare
335,Loxley #335,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,335.png,,human phantom,feminine,elder,mohawk,nose ring,winking,surprised,bandana,Common
336,Loxley #336,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,336.png,,human scout,androgynous,elder,man-bun,chin strap beard,normal eyes,smirking,high collar,Common
337,Loxley #337,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,337.png,,human phantom,masculine,young,man-bun,scarred cheek,closed eyes,neutral,neck chain,Common
338,Loxley #338,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,338.png,,human ranger,masculine,elder,pigtails,clean-shaven,closed eyes,scowling,beanie,Common
339,Loxley #339,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,339.png,,portrait dog,androgynous,elder,curly hair,chin strap beard,big round eyes,scowling,beanie,Rare
340,Loxley #340,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,340.png,,human phantom,masculine,elder,spiky hair,face tattoo,eyepatch,smirking,bandana,Common
341,Loxley #341,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,341.png,,human oracle,feminine,young,man-bun,cheek markings,eyepatch,scowling,earring,Common
342,Loxley #342,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,342.png,,human hacker,feminine,young,shaved sides,freckles,glowing eyes,smirking,laurel wreath,Common
343,Loxley #343,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,343.png,,human rogue,androgynous,adult,bangs,soul patch,wide eyes,smiling,cap,Common
344,Loxley #344,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,344.png,,secret agent,androgynous,adult,undercut,cheek markings,closed eyes,neutral,hood up,Rare
345,Loxley #345,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,345.png,,human ranger,androgynous,young,buzzcut,war paint,big round eyes,smiling,headphones,Common
346,Loxley #346,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,346.png,,secret agent,androgynous,young,buzzcut,cheek markings,eyepatch,frowning,face mask,Rare
347,Loxley #347,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,347.png,,human oracle,masculine,adult,bowl cut,eye scar,closed eyes,smirking,crown,Common
348,Loxley #348,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,348.png,,human rogue,androgynous,adult,slicked-back hair,war paint,heterochromia,smirking,headphones,Common
349,Loxley #349,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,349.png,,human oracle,masculine,elder,long hair,cybernetic jaw,square glasses,scowling,crown,Common
350,Loxley #350,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,350.png,,human scout,masculine,elder,man-bun,eye scar,round glasses,scowling,flower behind ear,Common
351,Loxley #351,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,351.png,,portrait cat,masculine,adult,receding hairline,beauty mark,narrow eyes,calm,crown,Rare
352,Loxley #352,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,352.png,,portrait dog,feminine,elder,bowl cut,soul patch,winking,frowning,scarf,Rare
353,Loxley #353,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,353.png,,secret agent,feminine,adult,shaved sides,cheek markings,heterochromia,surprised,headphones,Rare
354,Loxley #354,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,354.png,,human scout,masculine,elder,bald,freckles,glowing cyber eye,surprised,helmet,Common
355,Loxley #355,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,355.png,,human scout,masculine,adult,shaved sides,face tattoo,heterochromia,surprised,earring,Common
356,Loxley #356,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,356.png,,portrait cat,feminine,elder,undercut,wrinkles,tired eyes,smiling,earring,Rare
357,Loxley #357,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,357.png,,human rogue,masculine,young,mohawk,chin strap beard,heterochromia,smiling,glowing halo,Common
358,Loxley #358,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,358.png,,portrait cat,masculine,elder,undercut,nose ring,sunglasses,smiling,cigarette,Rare
359,Loxley #359,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,359.png,,human scout,masculine,adult,cornrows,goatee,sunglasses,calm,laurel wreath,Common
360,Loxley #360,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,360.png,,human ranger,feminine,young,short hair,eye scar,monocle,scowling,crown,Common
361,Loxley #361,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,361.png,,human phantom,masculine,young,shaved sides,nose ring,square glasses,smirking,high collar,Common
362,Loxley #362,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,362.png,,secret agent,feminine,elder,messy hair,scarred cheek,monocle,serious,hood up,Rare
363,Loxley #363,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,363.png,,secret agent,androgynous,elder,afro hair,war paint,normal eyes,smiling,cap,Rare
364,Loxley #364,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,364.png,,human ranger,masculine,elder,bald,wrinkles,glowing cyber eye,smirking,earring,Common
365,Loxley #365,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,365.png,,secret agent,masculine,adult,buzzcut,wrinkles,monocle,surprised,scarf,Rare
366,Loxley #366,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,366.png,,human phantom,masculine,elder,wavy hair,chin strap beard,narrow eyes,neutral,headband,Common
367,Loxley #367,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,367.png,,human oracle,masculine,adult,mohawk,scarred cheek,monocle,smiling,laurel wreath,Common
368,Loxley #368,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,368.png,,human hacker,feminine,elder,long hair,clean-shaven,monocle,scowling,hood up,Common
369,Loxley #369,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,369.png,,human phantom,androgynous,adult,bowl cut,chin strap beard,closed eyes,smiling,helmet,Common
370,Loxley #370,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,370.png,,portrait cat,androgynous,adult,undercut,nose ring,narrow eyes,surprised,cigarette,Rare
371,Loxley #371,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,371.png,,portrait cat,feminine,young,wavy hair,dimples,square glasses,smirking,scarf,Rare
372,Loxley #372,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,372.png,,portrait cat,feminine,adult,messy hair,freckles,eyepatch,serious,neck chain,Rare
373,Loxley #373,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,373.png,,human oracle,masculine,adult,bangs,chin strap beard,narrow eyes,smiling,nothing on head,Common
374,Loxley #374,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,374.png,,human scout,androgynous,adult,man-bun,cybernetic jaw,monocle,smirking,laurel wreath,Common
375,Loxley #375,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,375.png,,alien,androgynous,elder,shaved sides,full beard,sunglasses,surprised,small horns,Rare
376,Loxley #376,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,376.png,,secret agent,masculine,young,man-bun,eye scar,monocle,grinning,headphones,Rare
377,Loxley #377,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,377.png,,human phantom,masculine,elder,ponytail,soul patch,closed eyes,smirking,high collar,Common
378,Loxley #378,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,378.png,,human hacker,feminine,adult,hooded head,war paint,closed eyes,smirking,crown,Common
379,Loxley #379,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,379.png,,portrait cat,masculine,adult,buzzcut,wrinkles,square glasses,frowning,headband,Rare
380,Loxley #380,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,380.png,,portrait dog,feminine,adult,top-knot,stubble,tired eyes,neutral,face mask,Rare
381,Loxley #381,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,381.png,,human scout,feminine,adult,mohawk,sideburns,narrow eyes,scowling,flower behind ear,Common
382,Loxley #382,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,382.png,,human phantom,androgynous,elder,bangs,goatee,winking,surprised,cigarette,Common
383,Loxley #383,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,383.png,,human ranger,masculine,young,wavy hair,scarred cheek,normal eyes,neutral,cap,Common
384,Loxley #384,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,384.png,,human hacker,feminine,elder,messy hair,clean-shaven,winking,surprised,small horns,Common
385,Loxley #385,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,385.png,,human scout,feminine,elder,short hair,face tattoo,wide eyes,frowning,cigarette,Common
386,Loxley #386,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,386.png,,human hacker,feminine,elder,long hair,nose ring,glowing eyes,serious,scarf,Common
387,Loxley #387,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,387.png,,secret agent,androgynous,adult,buzzcut,nose ring,round glasses,scowling,headphones,Rare
388,Loxley #388,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,388.png,,human phantom,androgynous,young,afro hair,eye scar,round glasses,scowling,bandana,Common
389,Loxley #389,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,389.png,,human scout,masculine,elder,shaved sides,war paint,normal eyes,surprised,headband,Common
390,Loxley #390,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,390.png,,secret agent,feminine,young,pigtails,cybernetic jaw,wide eyes,surprised,bandana,Rare
391,Loxley #391,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,391.png,,human hacker,androgynous,adult,spiky hair,cybernetic jaw,tired eyes,neutral,flower behind ear,Common
392,Loxley #392,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,392.png,,human hacker,feminine,adult,cornrows,clean-shaven,glowing cyber eye,serious,scarf,Common
393,Loxley #393,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,393.png,,alien,feminine,young,buzzcut,face tattoo,wide eyes,grinning,neck chain,Rare
394,Loxley #394,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,394.png,,secret agent,androgynous,elder,hooded head,soul patch,big round eyes,surprised,bandana,Rare
395,Loxley #395,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,395.png,,portrait dog,androgynous,elder,afro hair,soul patch,normal eyes,scowling,cap,Rare
396,Loxley #396,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,396.png,,alien,androgynous,young,receding hairline,stubble,glowing eyes,surprised,face mask,Rare
397,Loxley #397,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,397.png,,human oracle,masculine,young,afro hair,mustache,round glasses,calm,antenna,Common
398,Loxley #398,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,398.png,,human phantom,masculine,elder,buzzcut,chin strap beard,heterochromia,smiling,headphones,Common
399,Loxley #399,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,399.png,,human rogue,masculine,adult,dreadlocks,freckles,narrow eyes,scowling,glowing halo,Common
400,Loxley #400,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,400.png,,human hacker,androgynous,elder,spiky hair,soul patch,sunglasses,neutral,laurel wreath,Common
401,Loxley #401,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,401.png,,human hacker,masculine,adult,spiky hair,mustache,winking,calm,crown,Common
402,Loxley #402,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,402.png,,human scout,feminine,young,messy hair,goatee,glowing cyber eye,surprised,headphones,Common
403,Loxley #403,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,403.png,,human ranger,feminine,adult,shaved sides,sideburns,winking,grinning,earring,Common
404,Loxley #404,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,404.png,,human oracle,androgynous,young,short hair,chin strap beard,square glasses,smiling,headphones,Common
405,Loxley #405,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,405.png,,human oracle,masculine,adult,messy hair,goatee,heterochromia,frowning,earring,Common
406,Loxley #406,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,406.png,,human phantom,androgynous,young,curly hair,soul patch,big round eyes,smirking,small horns,Common
407,Loxley #407,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,407.png,,human scout,masculine,young,top-knot,nose ring,normal eyes,scowling,bandana,Common
408,Loxley #408,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,408.png,,human ranger,masculine,elder,bald,eye scar,eyepatch,smirking,hood up,Common
409,Loxley #409,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,409.png,,secret agent,masculine,young,wavy hair,clean-shaven,normal eyes,scowling,helmet,Rare
410,Loxley #410,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,410.png,,human phantom,masculine,adult,ponytail,beauty mark,glowing eyes,neutral,flower behind ear,Common
411,Loxley #411,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,411.png,,human phantom,androgynous,elder,messy hair,cybernetic jaw,eyepatch,scowling,small horns,Common
412,Loxley #412,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,412.png,,human hacker,androgynous,adult,receding hairline,stubble,closed eyes,grinning,small horns,Common
413,Loxley #413,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,413.png,,human hacker,androgynous,young,ponytail,nose ring,eyepatch,surprised,beanie,Common
414,Loxley #414,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,414.png,,human phantom,androgynous,adult,ponytail,eye scar,monocle,smirking,nothing on head,Common
415,Loxley #415,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,415.png,,human rogue,feminine,young,messy hair,mustache,narrow eyes,calm,neck chain,Common
